id,owner,num_layers,num_params,has_recurrence,backbone,policy_algo,training_steps
358089,chisboiz111,37,1395256,False,cnn,ppo,179994.0
358042,sazeglio,28,1925545,False,cnn,sac,
357967,loser1,37,1395256,False,cnn,ppo,199996.0
357961,retrievers,37,1395256,False,cnn,ppo,213526.0
357939,retrievers,35,1924776,False,cnn,ppo,179953.0
357906,loser1,37,1395256,False,cnn,ppo,500027.0
357749,sazeglio,28,1925545,False,cnn,sac,
357512,loser1,37,1395256,False,cnn,ppo,419973.0
357452,sazeglio,28,1925545,False,cnn,sac,
357286,retrievers,37,1395256,False,cnn,ppo,359971.0
357284,retrievers,37,1395256,False,cnn,ppo,339995.0
357280,retrievers,37,1395256,False,cnn,ppo,319983.0
357279,retrievers,37,1395256,False,cnn,ppo,299964.0
357276,retrievers,37,1395256,False,cnn,ppo,279999.0
357024,sazeglio,28,1925545,False,cnn,sac,
357019,loser1,37,1395256,False,cnn,ppo,239977.0
357016,retrievers,37,1395256,False,cnn,ppo,219981.0
357010,retrievers,37,1395256,False,cnn,ppo,199976.0
357009,retrievers,37,1395256,False,cnn,ppo,179989.0
357008,retrievers,37,1395256,False,cnn,ppo,159996.0
357001,retrievers,37,1395256,False,cnn,ppo,139997.0
356720,sazeglio,28,1925545,False,cnn,sac,
356381,gg_12345,35,1924776,False,cnn,ppo,
356291,sazeglio,28,1925545,False,cnn,sac,
356179,sazeglio,28,1925545,False,cnn,sac,
355979,dsadreddinov,70,778280,False,resnet,sac,
355848,sazeglio,28,1925545,False,cnn,sac,
355766,sazeglio,28,1925545,False,cnn,sac,
355715,dsadreddinov,70,778280,False,resnet,sac,
355688,sazeglio,28,1925545,False,cnn,sac,
355114,trungkiet93,37,1395256,False,cnn,ppo,99973.0
355113,loser1,37,1395256,False,cnn,ppo,214147.0
355108,loser1,37,1395256,False,cnn,ppo,199988.0
355107,loser1,37,1395256,False,cnn,ppo,103870.0
355106,loser1,37,1395256,False,cnn,ppo,179952.0
355079,loser1,37,1395256,False,cnn,ppo,1319995.0
355056,retrievers,37,1395256,False,cnn,ppo,1079998.0
354961,retrievers,37,1395256,False,cnn,ppo,299999.0
354909,retrievers,37,1395256,False,cnn,ppo,164929.0
354908,retrievers,37,1395256,False,cnn,ppo,2000005.0
354859,loser1,37,1395256,False,cnn,ppo,1182384.0
354855,loser1,37,1395256,False,cnn,ppo,139975.0
354854,loser1,37,1395256,False,cnn,ppo,159991.0
354799,retrievers,37,1395256,False,cnn,ppo,84298.0
354708,retrievers,37,1395256,False,cnn,ppo,39984.0
354678,retrievers,37,1395256,False,cnn,ppo,19964.0
354579,retrievers,39,1924776,False,cnn,ppo,20020.0
354512,retrievers,37,1395256,False,cnn,ppo,2059997.0
353928,retrievers,35,1924776,False,cnn,ppo,
353925,loser1,35,1924776,False,cnn,ppo,
353924,loser1,35,1924776,False,cnn,ppo,2086.0
353921,loser1,35,7622728,False,cnn,ppo,9983.0
353883,saidineshpola,29,1924779,False,cnn,ppo,
353853,loser1,35,7622728,False,cnn,ppo,9983.0
352920,aaravg42,35,4039848,False,cnn,ppo,
350156,kx2141,35,1924776,False,cnn,ppo,
345048,chisboiz111,33,1395256,False,cnn,ppo,
343055,chisboiz111,35,7622728,False,cnn,ppo,
341494,cclin,35,4039848,False,cnn,ppo,
339313,pajucg2,45,7625041,False,cnn,ppo,114204.0
337833,pajucg2,35,4039848,False,cnn,ppo,
336155,all_awareness,44,4858024,False,cnn,ppo,
